title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
Kirby Fighters 2,Nintendo Switch,2020-09-23,65.0,7.9,,"['Nintendo', ' HAL Labs']","['Action', 'Fighting', '2D']"
Mario & Sonic at the Rio 2016 Olympic Games,Wii U,2016-06-24,65.0,7.9,E10+,"['Nintendo', ' Sega Sports R&D']","['Sports', 'Individual', 'Athletics']"
Mystery Case Files: MillionHeir,Nintendo DS,2008-09-08,65.0,,E,['Griptonite Games'],"['Miscellaneous', 'Adventure', 'Puzzle', 'General', 'Hidden Object', 'Puzzle']"
Mystery Case Files: The Malgrave Incident,Wii,2011-06-29,65.0,8.0,E,['Sanzaru Games'],"['Miscellaneous', 'Puzzle', 'Hidden Object', 'Puzzle', 'General']"
New Play Control! Mario Power Tennis,Wii,2009-03-09,65.0,7.7,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Individual', 'Tennis', 'Tennis']"
Nintendo Pocket Football Club,Nintendo 3DS,2014-04-17,65.0,7.4,,['ParityBit'],"['Sports', 'Traditional', 'Soccer', 'Arcade']"
Wii Party U,Wii U,2013-10-25,65.0,7.0,E,['Nd Cube'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Yoshi's Story,Nintendo 64,1998-03-01,65.0,7.5,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Dr. Kawashima's Brain Training for Nintendo Switch,Nintendo Switch,2020-01-03,64.0,5.9,,['Nintendo'],"['Miscellaneous', 'Edutainment']"
Little Town Hero,Nintendo Switch,2019-10-16,64.0,4.0,E10+,['Game Freak'],"['Role-Playing', 'Japanese-Style']"
Mario Party 7,GameCube,2005-11-07,64.0,7.8,E,['Hudson'],"['Miscellaneous', 'Party']"
Mario Sports Mix,Wii,2011-02-07,64.0,7.8,E,['Square Enix'],"['Sports', 'General', 'General']"
Metroid Prime: Federation Force,Nintendo 3DS,2016-08-19,64.0,5.5,T,"['Next Level Games', ' Nintendo']","['Action', 'Shooter', 'First-Person', 'Arcade']"
Pokemon Cafe Mix,Nintendo Switch,2020-06-23,64.0,7.7,E,['The Pokemon Company'],"['Puzzle', 'Matching']"
Pokemon Quest,Nintendo Switch,2018-05-29,64.0,6.5,E,['Game Freak'],"['Role-Playing', 'Action RPG']"
Pokemon XD: Gale of Darkness,GameCube,2005-09-28,64.0,8.2,E,['Genius Sonority Inc.'],"['Role-Playing', 'Console-style RPG']"
