title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,Nintendo Switch,2020-08-26,,,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,Nintendo Switch,2020-09-23,,,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
Chase Mii,Wii U,,,,RP,['Nintendo'],"['Miscellaneous', 'General']"
Chew-Man-Fu,Wii,2007-02-26,,,E,['Hudson'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General']"
Clu Clu Land,Wii,2008-09-01,,,E,['Nintendo'],"['Action', 'General']"
Clubhouse Games Express: Card Classics,Nintendo DS,2009-04-27,,,T,['Nintendo'],"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Clubhouse Games Express: Family Favorites,Nintendo DS,2009-09-07,,,E,['Nintendo'],"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Clubhouse Games Express: Strategy Pack,Nintendo DS,2009-09-21,,,E,['Nintendo'],"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Crash-Course Domo,Nintendo DS,2009-10-19,,,E,['Suzak'],"['Driving', 'Racing', 'Arcade', 'Other', 'Other']"
Crosswords Plus,Nintendo 3DS,2012-10-01,,7.5,E,['Nintendo Software Technology'],"['Miscellaneous', 'Puzzle', 'General', 'Puzzle', 'Logic', 'General']"
Cruis'n USA,Wii,2008-03-31,,,E,['Midway'],"['Driving', 'Racing', 'Arcade']"
Daemon X Machina: Prototype Missions,Nintendo Switch,2019-02-13,,6.6,,['Nintendo'],"['Simulation', 'Vehicle', 'Combat']"
Deer Drive Legends,Nintendo 3DS,,,,T,['Raylight Studios'],"['Sports', 'Individual', 'Nature', 'Hunting', 'Hunting']"
Doc Louis's Punch-Out!!,Wii,2009-10-27,,8.6,E10+,['Next Level Games'],"['Sports', 'Traditional', 'Individual', 'Boxing', 'Boxing', 'Combat', 'Boxing / Martial Arts']"
Donkey Kong,Wii,2006-11-19,,6.3,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Donkey Kong 3,Wii,2008-07-14,,,E,['Nintendo'],"['Action', 'General', 'Platformer', '2D']"
Donkey Kong Country,Wii,2007-02-19,,8.4,E,['Rare Ltd.'],"['Action', 'Platformer', '2D']"
Donkey Kong Country 2: Diddy's Kong Quest,Wii,2007-05-21,,8.8,E,['Rare Ltd.'],"['Action', 'Platformer', '2D']"
Donkey Kong Country 3: Dixie Kong's Double Trouble,Wii,2007-12-24,,8.3,E,['Rare Ltd.'],"['Action', 'Platformer', '2D']"
Donkey Kong Jr.,Wii,2006-12-04,,,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Donkey Kong Jr. Math,Wii,2007-09-03,,3.8,E,['Nintendo'],"['Miscellaneous', 'Edutainment']"
Earthbound Beginnings,Wii U,2015-06-14,,8.4,,['Pax Softonica'],"['Role-Playing', 'Japanese-Style']"
Electroplankton: Beatnes,Nintendo DS,2009-11-09,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Hanenbow,Nintendo DS,2009-11-09,,7.5,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Lumiloop,Nintendo DS,2009-11-23,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Luminarrow,Nintendo DS,2009-11-23,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Marine-Crystals,Nintendo DS,2009-11-23,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Nanocarp,Nintendo DS,2009-11-09,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Rec-Rec,Nintendo DS,2009-11-09,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Sun-Animalcule,Nintendo DS,2009-11-23,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Trapy,Nintendo DS,2009-11-09,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Varvoice,Nintendo DS,2009-11-23,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Everybody Votes,Wii,2007-02-14,,,,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Excitebike,Wii,2007-03-19,,6.8,E,['Nintendo'],"['Action', 'Driving', 'General', 'Racing', 'Motorcycle', 'Motocross']"
Excitebots: Trick Racing,Wii U,2016-12-15,,,,['Nintendo'],"['Racing', 'Arcade', 'Automobile']"
F-Zero,Wii,2006-11-19,,8.6,E,['Nintendo'],"['Driving', 'Racing', 'Futuristic']"
F-Zero X,Wii,2007-06-25,,7.5,E,['Nintendo'],"['Driving', 'Racing', 'Futuristic']"
FAST Racing Neo,Nintendo 3DS,,,,,"[""Shin'en""]","['Racing', 'Arcade', 'Futuristic']"
Face Pilot: Fly With Your Nintendo DSi Camera!,Nintendo DS,2010-07-26,,,E,['HAL Labs'],"['Simulation', 'General', 'General']"
Face Raiders,Nintendo 3DS,2011-03-27,,7.1,E,['HAL Labs'],"['Action', 'General', 'General', 'Shooter', 'Light Gun']"
Final Fight,Wii,2007-05-07,,8.4,E,['Capcom'],"['Action', ""Beat-'Em-Up""]"
Fire Emblem Echoes: Shadows of Valentia - Band of Bandages,Nintendo 3DS,2017-05-19,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Battle of Zofia Harbor,Nintendo 3DS,2017-06-01,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Cipher Companions Pack,Nintendo 3DS,2017-06-22,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Cipher Legends I,Nintendo 3DS,2017-06-22,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Cipher Legends II,Nintendo 3DS,2017-06-22,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Fledging Warriors Pack,Nintendo 3DS,2017-05-19,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Flight from the Ruins,Nintendo 3DS,2017-06-01,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Inner Sanctum,Nintendo 3DS,2017-05-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Lords of the Grave,Nintendo 3DS,2017-05-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Lost Altars Pack,Nintendo 3DS,2017-05-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Outpost Rescue,Nintendo 3DS,2017-06-01,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Rise of the Deliverance Pack,Nintendo 3DS,2017-06-01,,,,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Siege of Zofia Castle,Nintendo 3DS,2017-06-01,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - The Astral Temple,Nintendo 3DS,2017-05-19,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Undaunted Heroes Pack,Nintendo 3DS,2017-05-25,,,,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Wealth Before Health,Nintendo 3DS,2017-05-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Echoes: Shadows of Valentia - Wretches and Riches,Nintendo 3DS,2017-05-19,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
Fire Emblem Warriors: Awakening Pack,Nintendo 3DS,2018-03-29,,,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors: Fates Pack,Nintendo Switch,2017-12-21,,6.6,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors: Fates Pack,Nintendo 3DS,2017-12-21,,,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors: Shadow Dragon Pack,Nintendo Switch,2018-02-14,,,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem Warriors: Shadow Dragon Pack,Nintendo 3DS,2018-02-14,,,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Fire Emblem: Awakening - A Hard Miracle,Nintendo 3DS,2013-03-13,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Apotheosis,Nintendo 3DS,2013-05-23,,7.5,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Champions of Yore 1,Nintendo 3DS,2013-01-31,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Champions of Yore 2,Nintendo 3DS,2013-02-07,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Champions of Yore 3,Nintendo 3DS,2013-02-14,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Death's Embrace,Nintendo 3DS,2013-04-11,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - EXPonential Growth,Nintendo 3DS,2013-02-28,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Five-Anna Firefight,Nintendo 3DS,2013-04-18,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Ghost of Blade,Nintendo 3DS,2013-03-28,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Harvest Scramble,Nintendo 3DS,2013-04-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Hot Spring Scramble,Nintendo 3DS,2013-05-09,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Infinite Regalia,Nintendo 3DS,2013-03-07,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Irreconcilable Paths,Nintendo 3DS,2013-02-28,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Lost Bloodlines 1,Nintendo 3DS,2013-02-21,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Lost Bloodlines 2,Nintendo 3DS,2013-03-07,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Lost Bloodlines 3,Nintendo 3DS,2013-03-14,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Rogues and Redeemers 1,Nintendo 3DS,2013-03-28,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Rogues and Redeemers 2,Nintendo 3DS,2013-04-04,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Rogues and Redeemers 3,Nintendo 3DS,2013-04-11,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Roster Rescue,Nintendo 3DS,2013-04-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Smash Brethren 1,Nintendo 3DS,2013-03-14,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Smash Brethren 2,Nintendo 3DS,2013-03-21,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Smash Brethren 3,Nintendo 3DS,2013-03-28,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - Summer Scramble,Nintendo 3DS,2013-05-02,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Dead King's Lament,Nintendo 3DS,2013-02-14,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Future Past 1,Nintendo 3DS,2013-05-09,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Future Past 2,Nintendo 3DS,2013-05-16,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Future Past 3,Nintendo 3DS,2013-05-23,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Golden Gaffe,Nintendo 3DS,2013-02-14,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Radiant Hero,Nintendo 3DS,2013-04-25,,,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Fire Emblem: Awakening - The Wellspring of Truth,Nintendo 3DS,2013-04-11,,7.0,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Flipnote Studio 3D,Nintendo 3DS,2015-02-10,,6.9,E,['Nintendo'],"['Miscellaneous', 'General', 'General', 'Application']"
Fluidity,Wii,,,,E,['Curve Studios'],"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
Game & Watch Collection,Nintendo DS,2008-12-15,,,E,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
Game & Watch Collection 2,Nintendo DS,2010-03-31,,,E,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
Game & Watch: Ball,Nintendo DS,2010-04-19,,,E,['Nintendo'],"['Action', 'General', 'General', 'Arcade']"
Game & Watch: Chef,Nintendo DS,2010-03-22,,,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Donkey Kong Jr.,Nintendo DS,2010-04-19,,8.0,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Flagman,Nintendo DS,2010-04-19,,,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Helmet,Nintendo DS,2010-04-05,,,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Judge,Nintendo DS,2010-03-22,,,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Manhole,Nintendo DS,2010-04-05,,,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Mario's Cement Factory,Nintendo DS,2010-03-22,,,E,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Vermin,Nintendo DS,2010-04-05,,,E,['Nintendo'],"['Action', 'Miscellaneous', 'Trivia / Game Show', 'Trivia / Game Show', 'Arcade']"
Grill-Off with Ultra Hand!,Wii,2010-03-31,,,E,['Nintendo'],"['Action', 'General', 'General']"
Gunstar Heroes,Wii,2006-12-11,,,E10+,['Treasure'],"['Action', 'Shooter', 'Scrolling']"
Hard-Hat Domo,Nintendo DS,2009-10-19,,,E,['Suzak'],"['Adventure', 'Puzzle', 'Action', 'General']"
Hive Jump,Wii U,2017-09-28,,,E10+,['Graphite Lab'],"['Action', 'Platformer', '2D']"
Hyrule Warriors Legends: A Link Between Worlds Pack,Nintendo 3DS,2016-10-31,,,,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors Legends: Link's Awakening Pack,Nintendo 3DS,2016-06-30,,,,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors Legends: Master Wind Waker Pack,Nintendo 3DS,2016-05-19,,,,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors Legends: Phantom Hourglass & Spirit Tracks Pack,Nintendo 3DS,2016-09-01,,,E10+,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors: Boss Pack,Wii U,2015-03-12,,7.6,,['Tecmo Koei Games'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors: Majora's Mask Pack,Wii U,2015-02-05,,8.0,,['Tecmo Koei Games'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors: Master Quest Pack,Wii U,2014-10-16,,7.9,,['Tecmo Koei Games'],"['Action', ""Beat-'Em-Up"", '3D']"
Hyrule Warriors: Twilight Princess Pack,Wii U,2014-11-26,,8.3,T,['Tecmo Koei Games'],"['Action', ""Beat-'Em-Up"", '3D']"
Ice Climber,Wii,2007-02-12,,4.8,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Ice Hockey,Wii,2006-12-11,,,E,['Nintendo'],"['Sports', 'Traditional', 'Ice Hockey', 'Arcade']"
Internet Channel,Wii,2006-12-08,,,,['Opera'],"['Miscellaneous', 'Web Browser', 'Application']"
Jump Rope Challenge,Nintendo Switch,2020-06-15,,7.4,,['Nintendo'],"['Action', 'General']"
Kid Chameleon,Wii,2007-05-28,,,E,['Sega'],"['Action', 'General']"
Kid Icarus,Wii,2007-02-12,,7.5,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Kirby 64: The Crystal Shards,Wii,2008-02-25,,8.6,E,['HAL Labs'],"['Action', 'Platformer', '3D']"
Kirby Star Allies Demo,Nintendo Switch,2018-03-04,,7.0,,['HAL Labs'],"['Action', 'Platformer', '2D']"
Kirby Super Star,Wii,2010-05-17,,8.3,E,['Hal'],"['Action', 'Platformer', '2D']"
Kirby's Adventure,Wii,2007-02-12,,8.5,E,['HAL Labs'],"['Action', 'Platformer', '2D']"
Kirby's Avalanche,Wii,2007-09-24,,,E,['Hal'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General']"
Kirby's Dream Course,Wii,2007-07-23,,,E,['Nintendo'],"['Sports', 'Traditional', 'Golf', 'Arcade']"
Kirby's Dream Land 3,Wii,2009-01-05,,8.1,E,['Hal'],"['Action', 'Platformer', '2D']"
Line Attack Heroes,Wii,,,,,['GREZZO'],"['Action', 'General', 'General']"
Looksley's Line Up,Nintendo DS,2010-05-17,,,E,['Good-Feel'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Hidden Object', 'General', 'Puzzle', 'General']"
Luigi's Mansion 3: Multiplayer Pack 1 & 2,Nintendo Switch,2020-03-04,,,,['Next Level Games'],"['Action Adventure', 'General']"
Mach Rider,Wii,2007-07-09,,,E,['Nintendo'],"['Driving', 'Racing', 'Motorcycle', 'Street']"
Make 10,Nintendo DS,,,,,['MuuMuu'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Logic', 'Logic']"
Mario Bros.,Wii,2006-11-19,,6.1,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Mario Calculator,Nintendo DS,2009-06-15,,5.7,,['Nintendo'],"['Action', 'Miscellaneous', 'General', 'Edutainment']"
Mario Clock,Nintendo DS,2009-06-15,,6.0,E,['Nintendo'],"['Miscellaneous', 'General', 'General', 'Application']"
Mario Golf,Wii,2008-10-06,,,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Golf', 'Arcade']"
Mario Kart 64,Wii,2007-01-29,,7.3,E,['Nintendo'],"['Driving', 'Racing', 'Kart']"
Mario Kart 8 Deluxe + Super Mario Party,Nintendo Switch,2020-10-04,,,E,['Nintendo'],"['Miscellaneous', 'Compilation']"
Mario Party 2,Wii,2010-12-20,,8.7,,['Hudson'],"['Miscellaneous', 'Party']"
Mario Tennis,Wii,2010-06-28,,,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Tennis']"
Marvel Ultimate Alliance 3: The Black Order - Expansion 1: Curse of the Vampire,Nintendo Switch,2019-09-30,,,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
Marvel Ultimate Alliance 3: The Black Order - Expansion 2: Rise of the Phoenix,Nintendo Switch,2019-12-23,,,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,Nintendo Switch,2020-03-26,,,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
Master of Illusion Express: Deep Psyche,Nintendo DS,2009-04-20,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Master of Illusion Express: Funny Face,Nintendo DS,2009-04-05,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Master of Illusion Express: Matchmaker,Nintendo DS,2009-12-14,,,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Master of Illusion Express: Mind Probe,Nintendo DS,2009-11-30,,,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Master of Illusion Express: Psychic Camera,Nintendo DS,2009-12-28,,,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Master of Illusion Express: Shuffle Games,Nintendo DS,2009-04-13,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Measure Up,Wii U,,,,,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Metroid,Wii,2007-08-13,,7.7,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Metroid Prime 4,Nintendo Switch,,,,,"['Nintendo', ' Retro Studios']","['Action', 'Shooter', 'First-Person', 'Arcade']"
Metroid Prime: Blast Ball,Nintendo 3DS,2016-07-21,,7.1,,['Next Level Games'],"['Action', 'Shooter', 'First-Person', 'Arcade']"
Metroid Prime: Hunters - First Hunt,Nintendo DS,2004-11-20,,,RP,['Nintendo Software Technology'],"['Action', 'Shooter', 'First-Person', 'Arcade']"
Mighty Bomb Jack,Wii,2007-05-07,,,E,['Tecmo'],"['Action', 'General']"
Mii Maker,Nintendo 3DS,2011-03-27,,6.1,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Miitopia: Casting Call,Nintendo 3DS,2017-07-13,,7.1,E,['Nintendo'],"['Miscellaneous', 'Application']"
Mini-Mario & Friends: amiibo Challenge,Wii U,2016-03-25,,6.9,E,"['Nintendo', ' Nintendo Software Technology']","['Puzzle', 'Action']"
Mini-Mario & Friends: amiibo Challenge,Nintendo 3DS,2016-03-25,,6.8,E,"['Nintendo', ' Nintendo Software Technology']","['Puzzle', 'Action']"
Monster Hunter Stories: The Legend of Zelda,Nintendo 3DS,2017-09-28,,,E10+,['Capcom'],"['Role-Playing', 'Action RPG', 'Japanese-Style']"
My Nintendo Picross - The Legend of Zelda: Twilight Princess,Nintendo 3DS,2016-03-30,,7.3,E,['Nintendo'],"['Puzzle', 'Logic']"
NES Open Tournament Golf,Wii,2007-06-18,,,E,['Nintendo'],"['Sports', 'Traditional', 'Golf', 'Arcade']"
NES Play Action Football,Wii,2007-09-10,,,E,['Nintendo'],"['Sports', 'Traditional', 'Football', 'Sim']"
NES Remix Pack,Wii U,2014-12-05,,8.6,E,['indieszero'],"['Miscellaneous', 'Compilation']"
New Play Control! Pikmin 2,Wii,2012-06-10,,8.7,E,['Nintendo'],"['Strategy', 'Real-Time', 'Fantasy', 'General', 'Fantasy']"
New Pokemon Snap,Nintendo Switch,,,,,"['Bandai Namco Games', ' The Pokemon Company']","['Action', 'Shooter', 'Rail']"
New Super Mario Bros. 2: Coin Challenge Pack A,Nintendo 3DS,2012-10-04,,7.9,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Coin Challenge Pack B,Nintendo 3DS,2012-10-25,,7.1,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Coin Challenge Pack C,Nintendo 3DS,2012-12-05,,7.6,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Gold Classics Pack,Nintendo 3DS,2012-11-27,,7.1,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Gold Mushroom Pack,Nintendo 3DS,2012-10-25,,7.5,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Gold Rush Pack,Nintendo 3DS,2012-10-04,,7.3,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Impossible Pack,Nintendo 3DS,2012-12-20,,7.5,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Mystery Adventure Pack,Nintendo 3DS,2012-12-20,,7.7,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Nerve-Wrack Pack,Nintendo 3DS,2012-10-04,,7.5,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
New Super Mario Bros. 2: Platform Panic Pack,Nintendo 3DS,2012-12-05,,7.0,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '3D', '2D']"
New Super Mario Bros. U + New Super Luigi U,Wii U,2013-11-01,,8.7,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Ninja Spirit,Wii,2007-05-14,,,E10+,['Irem'],"['Action', 'General']"
Nintendo 3DS,Nintendo 3DS,2011-03-27,,8.0,E,['Nintendo'],"['Hardware', 'Console']"
Nintendo 3DS Guide: Louvre,Nintendo 3DS,2013-12-02,,,,['Nintendo'],"['Miscellaneous', 'Edutainment', 'Edutainment']"
Nintendo 3DS Internet Browser,Nintendo 3DS,2011-03-27,,,,['Nintendo'],"['Miscellaneous', 'Application']"
