title,platform,date,meta_score,user_score,esrb_rating,developers,genres
迷托邦,Nintendo Switch,2021-05-21,,,,Nintendo,['Adventure']
Famicom偵探俱樂部 站在身後的少女,Nintendo Switch,2021-05-14,,,,Nintendo,['Adventure']
Hyrule Warriors: Age of Calamity,Nintendo Switch,2020-11-20,79.0,8.1,T,Nintendo,"['Action', ""Beat-'Em-Up"", '3D']"
《集合啦！動物森友會》全島轉移服務,Nintendo Switch,2020-11-19,,,,Nintendo,['Simulation']
Mario Kart Live: Home Circuit,Nintendo Switch,2020-10-16,75.0,7.3,E,Nintendo,"['Racing', 'Arcade', 'Automobile']"
卡比群星戰2,Nintendo Switch,2020-09-24,,,,Nintendo,['Platformer']
Paper Mario: The Origami King,Nintendo Switch,2020-07-17,80.0,7.0,E,Nintendo,"['Role-Playing', 'General']"
Xenoblade Chronicles: Definitive Edition,Nintendo Switch,2020-05-29,89.0,8.9,T,Nintendo,"['Role-Playing', 'Action RPG']"
Animal Crossing: New Horizons,Nintendo Switch,2020-03-20,90.0,5.5,E,Nintendo,"['Simulation', 'Virtual', 'Virtual Life']"
ポケモン不思議のダンジョン 救助隊DX,Nintendo Switch,2020-03-06,,,,Nintendo,['Adventure']
Pokemon Sword,Nintendo Switch,2019-11-15,80.0,4.6,E,Nintendo,"['Role-Playing', 'Trainer']"
Pokemon Shield,Nintendo Switch,2019-11-15,80.0,4.6,E,Nintendo,"['Role-Playing', 'Trainer']"
Ring Fit Adventure,Nintendo Switch,2019-10-18,83.0,8.7,E10+,Nintendo,"['Miscellaneous', 'Exercise / Fitness']"
薩爾達傳說 織夢島,Nintendo Switch,2019-09-20,,,,Nintendo,['Adventure']
Super Kirby Clash,Nintendo Switch,2019-09-05,74.0,7.4,E,Nintendo,"['Action', 'General']"
Astral Chain,Nintendo Switch,2019-08-30,87.0,8.9,T,Nintendo,"['Action Adventure', 'General']"
Fire Emblem: Three Houses,Nintendo Switch,2019-07-26,89.0,8.7,T,Nintendo,"['Strategy', 'Turn-Based', 'Tactics']"
凱登絲勇闖海拉魯：死靈舞師地牢 薩爾達傳說 合作鉅獻,Nintendo Switch,2019-06-14,,,,Nintendo,['Adventure']
